,,A Comparisons of Thorlabs' Thin Film Aluminum Mirror Coatings,,,
,,UV-Enhanced Aluminum (-F01),,Protected Aluminum (-G01),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,12.81405,96.64533,12.83368,96.72091
,,12.82418,96.64066,12.8438,96.73189
,,12.83368,96.63596,12.85392,96.74286
,,12.8438,96.63128,12.86403,96.75381
,,12.85392,96.62659,12.87415,96.76476
,,12.86403,96.6219,12.88425,96.77568
,,12.87415,96.6172,12.89372,96.78646
,,12.88425,96.6125,12.90382,96.79735
,,12.89372,96.60777,12.91392,96.80823
,,12.90382,96.60306,12.92401,96.81909
,,12.91392,96.59834,12.9341,96.82994
,,12.92401,96.59362,12.94418,96.84078
,,12.9341,96.5889,12.95363,96.85145
,,12.94418,96.58417,12.9637,96.86225
,,12.95363,96.5794,12.97377,96.87303
,,12.9637,96.57466,12.98384,96.88379
,,12.97377,96.56991,12.9939,96.89454
,,12.98384,96.56516,13.00396,96.90527
,,12.9939,96.56041,13.01402,96.91598
,,13.00396,96.55565,13.02407,96.92668
,,13.01402,96.55088,13.03411,96.93735
,,13.02407,96.54611,13.04416,96.94802
,,13.03411,96.54134,13.05357,96.95851
,,13.04416,96.53656,13.0636,96.96913
,,13.05357,96.53174,13.07363,96.97893
,,13.0636,96.52695,13.08366,96.98782
,,13.07363,96.52215,13.09368,96.99713
,,13.08366,96.51735,13.1037,97.00548
,,13.09368,96.51255,13.11371,97.01312
,,13.1037,96.50774,13.12372,97.02189
,,13.11371,96.50293,13.13373,97.03149
,,13.12372,96.49811,13.14373,97.04092
,,13.13373,96.49329,13.15373,97.04955
,,13.14373,96.48846,13.16372,97.05846
,,13.15373,96.48363,13.17371,97.06635
,,13.16372,96.47879,13.1837,97.07416
,,13.17371,96.47394,13.19368,97.08151
,,13.1837,96.4691,13.20366,97.09058
,,13.19368,96.46424,13.21363,97.09954
,,13.20366,96.45938,13.2236,97.10745
,,13.21363,96.45452,13.23357,97.11425
,,13.2236,96.44965,13.24353,97.12218
,,13.23357,96.44478,13.25348,97.12987
,,13.24353,96.4399,13.26344,97.13721
,,13.25348,96.43502,13.27401,97.14568
,,13.26344,96.43013,13.28395,97.15212
,,13.27401,96.42529,13.29389,97.16026
,,13.28395,96.42039,13.30383,97.1664
,,13.29389,96.41549,13.31376,97.17503
,,13.30383,96.41058,13.32368,97.18261
,,13.31376,96.40567,13.33361,97.19062
,,13.32368,96.40075,13.34353,97.19876
,,13.33361,96.39583,13.35344,97.20672
,,13.34353,96.3909,13.36397,97.21349
,,13.35344,96.38597,13.37388,97.22152
,,13.36397,96.38109,13.38378,97.22845
,,13.37388,96.37615,13.39368,97.23624
,,13.38378,96.3712,13.40357,97.24391
,,13.39368,96.36624,13.41346,97.25111
,,13.40357,96.36128,13.42335,97.25666
,,13.41346,96.35632,13.43385,97.2637
,,13.42335,96.35135,13.44372,97.27089
,,13.43385,96.34644,13.4536,97.27707
,,13.44372,96.34146,13.46346,97.2846
,,13.4536,96.33648,13.47333,97.29193
,,13.46346,96.33149,13.4838,97.29718
,,13.47333,96.32649,13.49366,97.30297
,,13.4838,96.32156,13.50351,97.30835
,,13.49366,96.31655,13.51336,97.31463
,,13.50351,96.31154,13.52382,97.32129
,,13.51336,96.30653,13.53366,97.32689
,,13.52382,96.30158,13.54349,97.33427
,,13.53366,96.29655,13.55332,97.34036
,,13.54349,96.29152,13.56376,97.34691
,,13.55332,96.28648,13.57358,97.3541
,,13.56376,96.28151,13.5834,97.36085
,,13.57358,96.27646,13.59382,97.36686
,,13.5834,96.27141,13.60363,97.37178
,,13.59382,96.26643,13.61344,97.37852
,,13.60363,96.26136,13.62385,97.3855
,,13.61344,96.25629,13.63364,97.39252
,,13.62385,96.25129,13.64343,97.39919
,,13.63364,96.24622,13.65322,97.40561
,,13.64343,96.24113,13.66362,97.41268
,,13.65322,96.23604,13.67339,97.41839
,,13.66362,96.23102,13.68378,97.42439
,,13.67339,96.22592,13.69355,97.42961
,,13.68378,96.22089,13.70331,97.43567
,,13.69355,96.21578,13.71368,97.44199
,,13.70331,96.21067,13.72344,97.44772
,,13.71368,96.20562,13.73319,97.45344
,,13.72344,96.20049,13.74355,97.45997
,,13.73319,96.19536,13.75329,97.46677
,,13.74355,96.1903,13.76364,97.47331
,,13.75329,96.18516,13.77337,97.47891
,,13.76364,96.18009,13.78371,97.48392
,,13.77337,96.17494,13.79343,97.4896
,,13.78371,96.16986,13.80316,97.49602
,,13.79343,96.16469,13.81348,97.50191
,,13.80316,96.15952,13.82319,97.50772
,,13.81348,96.15443,13.83351,97.51432
,,13.82319,96.14924,13.84321,97.52002
,,13.83351,96.14414,13.85351,97.52607
,,13.84321,96.13895,13.86321,97.53215
,,13.85351,96.13383,13.8735,97.53729
,,13.86321,96.12863,13.88319,97.54317
,,13.8735,96.1235,13.89348,97.54959
,,13.88319,96.11829,13.90315,97.55505
,,13.89348,96.11315,13.91343,97.56045
,,13.90315,96.10792,13.9231,97.56604
,,13.91343,96.10278,13.93336,97.57187
,,13.9231,96.09754,13.94362,97.57747
,,13.93336,96.09238,13.95328,97.58353
,,13.94362,96.08722,13.96353,97.58851
,,13.95328,96.08196,13.97318,97.5943
,,13.96353,96.07679,13.98342,97.6004
,,13.97318,96.07153,13.99305,97.60618
,,13.98342,96.06634,14.00329,97.61191
,,13.99305,96.06106,14.01352,97.61771
,,14.00329,96.05587,14.02314,97.6235
,,14.01352,96.05067,14.03336,97.62869
,,14.02314,96.04538,14.04357,97.63454
,,14.03336,96.04016,14.05318,97.64041
,,14.04357,96.03495,14.06338,97.64639
,,14.05318,96.02964,14.07358,97.65141
,,14.06338,96.02441,14.08318,97.65622
,,14.07358,96.01918,14.09337,97.66196
,,14.08318,96.01385,14.10355,97.66795
,,14.09337,96.0086,14.11313,97.67295
,,14.10355,96.00335,14.12331,97.67892
,,14.11313,95.99801,14.13348,97.68414
,,14.12331,95.99275,14.14305,97.68826
,,14.13348,95.98748,14.15321,97.6939
,,14.14305,95.98212,14.16336,97.69896
,,14.15321,95.97684,14.17351,97.70487
,,14.16336,95.97156,14.18306,97.71059
,,14.17351,95.96627,14.1932,97.71631
,,14.18306,95.96088,14.20334,97.72054
,,14.1932,95.95558,14.21347,97.72571
,,14.20334,95.95027,14.223,97.73068
,,14.21347,95.94496,14.23312,97.73595
,,14.223,95.93955,14.24324,97.74071
,,14.23312,95.93423,14.25335,97.74646
,,14.24324,95.9289,14.26346,97.75161
,,14.25335,95.92357,14.27296,97.75666
,,14.26346,95.91823,14.28306,97.76144
,,14.27296,95.91278,14.29315,97.7666
,,14.28306,95.90743,14.30324,97.77144
,,14.29315,95.90207,14.31332,97.77624
,,14.30324,95.89671,14.32339,97.78147
,,14.31332,95.89134,14.33287,97.78674
,,14.32339,95.88597,14.34294,97.79111
,,14.33287,95.88049,14.353,97.79622
,,14.34294,95.8751,14.36306,97.80154
,,14.353,95.86971,14.37311,97.80617
,,14.36306,95.86431,14.38315,97.81149
,,14.37311,95.85891,14.3932,97.81699
,,14.38315,95.85349,14.40323,97.82116
,,14.3932,95.84808,14.41326,97.82593
,,14.40323,95.84266,14.42329,97.83049
,,14.41326,95.83723,14.43331,97.83596
,,14.42329,95.83179,14.44333,97.84074
,,14.43331,95.82635,14.45334,97.84551
,,14.44333,95.8209,14.46334,97.85081
,,14.45334,95.81545,14.47334,97.85552
,,14.46334,95.80999,14.48334,97.86031
,,14.47334,95.80453,14.49333,97.86536
,,14.48334,95.79906,14.50331,97.87025
,,14.49333,95.79358,14.51329,97.8753
,,14.50331,95.7881,14.52327,97.88028
,,14.51329,95.78261,14.53324,97.88455
,,14.52327,95.77711,14.5432,97.88896
,,14.53324,95.77161,14.55316,97.89417
,,14.5432,95.7661,14.56312,97.89882
,,14.55316,95.76059,14.57307,97.90348
,,14.56312,95.75507,14.58301,97.90874
,,14.57307,95.74954,14.59295,97.91319
,,14.58301,95.74401,14.60288,97.91765
,,14.59295,95.73847,14.61281,97.92219
,,14.60288,95.73292,14.62274,97.92715
,,14.61281,95.72737,14.63324,97.93249
,,14.62274,95.72181,14.64315,97.93633
,,14.63324,95.71635,14.65306,97.9413
,,14.64315,95.71078,14.66296,97.9454
,,14.65306,95.7052,14.67286,97.95019
,,14.66296,95.69962,14.68275,97.95518
,,14.67286,95.69403,14.69322,97.95984
,,14.68275,95.68844,14.7031,97.96389
,,14.69322,95.68294,14.71298,97.96857
,,14.7031,95.67733,14.72285,97.97293
,,14.71298,95.67171,14.73272,97.97768
,,14.72285,95.66609,14.74316,97.9824
,,14.73272,95.66047,14.75301,97.98654
,,14.74316,95.65493,14.76286,97.9914
,,14.75301,95.64929,14.77271,97.99497
,,14.76286,95.64365,14.78313,97.99948
,,14.77271,95.63799,14.79296,98.00419
,,14.78313,95.63243,14.80279,98.00758
,,14.79296,95.62677,14.81261,98.01182
,,14.80279,95.6211,14.82301,98.016
,,14.81261,95.61542,14.83282,98.02066
,,14.82301,95.60983,14.84263,98.02479
,,14.83282,95.60414,14.85301,98.02964
,,14.84263,95.59844,14.86281,98.03421
,,14.85301,95.59284,14.8726,98.03887
,,14.86281,95.58713,14.88296,98.04353
,,14.8726,95.58141,14.89274,98.04714
,,14.88296,95.57579,14.90309,98.05186
,,14.89274,95.57006,14.91286,98.05607
,,14.90309,95.56442,14.92263,98.06057
,,14.91286,95.55868,14.93296,98.06499
,,14.92263,95.55293,14.94272,98.06847
,,14.93296,95.54727,14.95304,98.07207
,,14.94272,95.54151,14.96278,98.07625
,,14.95304,95.53584,14.97252,98.07972
,,14.96278,95.53006,14.98283,98.08359
,,14.97252,95.52428,14.99256,98.08698
,,14.98283,95.51859,15.00285,98.09171
,,14.99256,95.5128,15.01257,98.09621
,,15.00285,95.50709,15.02285,98.10082
,,15.01257,95.50128,15.03255,98.1052
,,15.02285,95.49557,15.04282,98.10968
,,15.03255,95.48975,15.05252,98.11394
,,15.04282,95.48402,15.06278,98.1183
,,15.05252,95.47818,15.07246,98.12244
,,15.06278,95.47244,15.08271,98.12668
,,15.07246,95.46659,15.09295,98.13085
,,15.08271,95.46083,15.10262,98.1348
,,15.09295,95.45507,15.11285,98.13885
,,15.10262,95.4492,15.12251,98.14268
,,15.11285,95.44343,15.13272,98.14661
,,15.12251,95.43755,15.14294,98.15048
,,15.13272,95.43176,15.15258,98.15412
,,15.14294,95.42596,15.16278,98.15787
,,15.15258,95.42006,15.17241,98.16139
,,15.16278,95.41425,15.1826,98.16501
,,15.17241,95.40833,15.19278,98.16857
,,15.1826,95.40251,15.20239,98.1719
,,15.19278,95.39668,15.21256,98.17534
,,15.20239,95.39074,15.22273,98.17871
,,15.21256,95.3849,15.23289,98.18201
,,15.22273,95.37905,15.24248,98.1851
,,15.23289,95.37319,15.25263,98.18829
,,15.24248,95.36723,15.26277,98.19141
,,15.25263,95.36136,15.2729,98.19446
,,15.26277,95.35548,15.28247,98.1973
,,15.2729,95.3496,15.29259,98.20024
,,15.28247,95.34361,15.30271,98.20311
,,15.29259,95.33771,15.31282,98.20591
,,15.30271,95.33181,15.32237,98.20851
,,15.31282,95.3259,15.33247,98.21119
,,15.32237,95.31988,15.34256,98.21381
,,15.33247,95.31396,15.35265,98.21637
,,15.34256,95.30803,15.36273,98.21886
,,15.35265,95.30209,15.37281,98.22129
,,15.36273,95.29614,15.38232,98.22351
,,15.37281,95.29019,15.39239,98.22582
,,15.38232,95.28414,15.40244,98.22806
,,15.39239,95.27817,15.4125,98.23024
,,15.40244,95.2722,15.42254,98.23236
,,15.4125,95.26622,15.43258,98.23441
,,15.42254,95.26023,15.44262,98.2364
,,15.43258,95.25424,15.45264,98.23833
,,15.44262,95.24824,15.46266,98.24019
,,15.45264,95.24223,15.47268,98.24199
,,15.46266,95.23622,15.48269,98.24373
,,15.47268,95.2302,15.49269,98.2454
,,15.48269,95.22417,15.50269,98.24701
,,15.49269,95.21814,15.51268,98.24856
,,15.50269,95.2121,15.52267,98.25004
,,15.51268,95.20605,15.53265,98.25147
,,15.52267,95.2,15.54262,98.25282
,,15.53265,95.19394,15.55258,98.25412
,,15.54262,95.18787,15.56254,98.25535
,,15.55258,95.1818,15.5725,98.25652
,,15.56254,95.17572,15.58245,98.25763
,,15.5725,95.16963,15.59239,98.25867
,,15.58245,95.16354,15.60233,98.25965
,,15.59239,95.15743,15.61225,98.26057
,,15.60233,95.15133,15.62218,98.26143
,,15.61225,95.14522,15.63265,98.26235
,,15.62218,95.1391,15.64256,98.26307
,,15.63265,95.13305,15.65246,98.26374
,,15.64256,95.12692,15.66236,98.26434
,,15.65246,95.12078,15.67225,98.26488
,,15.66236,95.11464,15.68214,98.26535
,,15.67225,95.10848,15.69257,98.26589
,,15.68214,95.10232,15.70244,98.26624
,,15.69257,95.09624,15.71231,98.26652
,,15.70244,95.09007,15.72217,98.26675
,,15.71231,95.08389,15.73257,98.26702
,,15.72217,95.07771,15.74242,98.26712
,,15.73257,95.0716,15.75226,98.26715
,,15.74242,95.0654,15.7621,98.26713
,,15.75226,95.05919,15.77247,98.26715
,,15.7621,95.05298,15.7823,98.26699
,,15.77247,95.04685,15.79211,98.26678
,,15.7823,95.04062,15.80247,98.26661
,,15.79211,95.03439,15.81227,98.26626
,,15.80247,95.02824,15.82207,98.26586
,,15.81227,95.02199,15.8324,98.2655
,,15.82207,95.01575,15.84219,98.26497
,,15.8324,95.00957,15.85251,98.26448
,,15.84219,95.00331,15.86228,98.26382
,,15.85251,94.99712,15.87205,98.2631
,,15.86228,94.99085,15.88235,98.26243
,,15.87205,94.98457,15.8921,98.26158
,,15.88235,94.97836,15.90239,98.26078
,,15.8921,94.97207,15.91213,98.25981
,,15.90239,94.96584,15.9224,98.25888
,,15.91213,94.95954,15.93213,98.25778
,,15.9224,94.9533,15.94239,98.25673
,,15.93213,94.94699,15.95211,98.25551
,,15.94239,94.94074,15.96235,98.25432
,,15.95211,94.93441,15.97205,98.25298
,,15.96235,94.92815,15.98229,98.25167
,,15.97205,94.92181,15.99198,98.2502
,,15.98229,94.91554,16.0022,98.24877
,,15.99198,94.90919,16.01241,98.24727
,,16.0022,94.9029,16.02208,98.24562
,,16.01241,94.89661,16.03228,98.24399
,,16.02208,94.89024,16.04247,98.24231
,,16.03228,94.88394,16.05212,98.24047
,,16.04247,94.87763,16.06229,98.23865
,,16.05212,94.87124,16.07193,98.23669
,,16.06229,94.86492,16.08209,98.23476
,,16.07193,94.85852,16.09225,98.23276
,,16.08209,94.85219,16.1024,98.2307
,,16.09225,94.84585,16.11201,98.22849
,,16.1024,94.8395,16.12215,98.22631
,,16.11201,94.83308,16.13228,98.22406
,,16.12215,94.82672,16.1424,98.22175
,,16.13228,94.82036,16.15198,98.2193
,,16.1424,94.81399,16.16209,98.21687
,,16.15198,94.80755,16.17219,98.21437
,,16.16209,94.80117,16.18228,98.21182
,,16.17219,94.79478,16.19237,98.2092
,,16.18228,94.78838,16.20192,98.20645
,,16.19237,94.78199,16.21199,98.20371
,,16.20192,94.77552,16.22206,98.20091
,,16.21199,94.76911,16.23212,98.19805
,,16.22206,94.7627,16.24217,98.19513
,,16.23212,94.75627,16.25221,98.19214
,,16.24217,94.74985,16.26225,98.1891
,,16.25221,94.74342,16.27228,98.18599
,,16.26225,94.73698,16.2823,98.18283
,,16.27228,94.73054,16.29232,98.1796
,,16.2823,94.72409,16.3018,98.17625
,,16.29232,94.71764,16.3118,98.17291
,,16.3018,94.71112,16.3218,98.1695
,,16.3118,94.70466,16.33179,98.16604
,,16.3218,94.69819,16.34229,98.16258
,,16.33179,94.69172,16.35227,98.15899
,,16.34229,94.6853,16.36223,98.15535
,,16.35227,94.67881,16.37219,98.15164
,,16.36223,94.67233,16.38214,98.14788
,,16.37219,94.66583,16.39208,98.14406
,,16.38214,94.65934,16.40202,98.14018
,,16.39208,94.65284,16.41195,98.13624
,,16.40202,94.64633,16.42187,98.13224
,,16.41195,94.63982,16.43179,98.12819
,,16.42187,94.6333,16.44222,98.12413
,,16.43179,94.62678,16.45212,98.11995
,,16.44222,94.62031,16.46201,98.11572
,,16.45212,94.61378,16.4719,98.11144
,,16.46201,94.60724,16.48178,98.10709
,,16.4719,94.60071,16.49217,98.10274
,,16.48178,94.59416,16.50203,98.09827
,,16.49217,94.58766,16.51189,98.09376
,,16.50203,94.58111,16.52174,98.08918
,,16.51189,94.57456,16.53209,98.0846
,,16.52174,94.568,16.54193,98.07991
,,16.53209,94.56148,16.55176,98.07516
,,16.54193,94.55492,16.56209,98.0704
,,16.55176,94.54835,16.5719,98.06554
,,16.56209,94.54182,16.58171,98.06063
,,16.5719,94.53524,16.59202,98.0557
,,16.58171,94.52866,16.60181,98.05068
,,16.59202,94.52211,16.61211,98.04563
,,16.60181,94.51553,16.62188,98.0405
,,16.61211,94.50898,16.63165,98.03631
,,16.62188,94.50238,16.64192,98.03132
,,16.63165,94.49578,16.65168,98.02696
,,16.64192,94.48922,16.66194,98.02207
,,16.65168,94.48261,16.67114,98.01771
,,16.66194,94.47604,16.68206,98.013
,,16.67114,94.46939,16.69298,98.00891
,,16.68206,94.46287,16.70116,98.00407
,,16.69298,94.45633,16.71208,97.99977
,,16.70116,94.44961,16.723,97.99494
,,16.71208,94.44307,16.73119,97.98985
,,16.723,94.43652,16.74211,97.98483
,,16.73119,94.4298,16.75302,97.98058
,,16.74211,94.42325,16.76121,97.97611
,,16.75302,94.41669,16.77213,97.9716
,,16.76121,94.40996,16.78304,97.96716
,,16.77213,94.40341,16.79123,97.9626
,,16.78304,94.39684,16.80215,97.9582
,,16.79123,94.39011,16.81306,97.95377
,,16.80215,94.38354,16.82125,97.94868
,,16.81306,94.37697,16.83216,97.94424
,,16.82125,94.37024,16.84308,97.93931
,,16.83216,94.36367,16.85126,97.93424
,,16.84308,94.35709,16.86217,97.92925
,,16.85126,94.35035,16.87309,97.9245
,,16.86217,94.34377,16.88127,97.91939
,,16.87309,94.33719,16.89219,97.91494
,,16.88127,94.33045,16.90037,97.91046
,,16.89219,94.32386,16.91128,97.90572
,,16.90037,94.31713,16.92219,97.90097
,,16.91128,94.31054,16.93038,97.89607
,,16.92219,94.30394,16.94129,97.89179
,,16.93038,94.29722,16.9522,97.88758
,,16.94129,94.29062,16.96038,97.88321
,,16.9522,94.28401,16.97129,97.87861
,,16.96038,94.27729,16.9822,97.87437
,,16.97129,94.27068,16.99039,97.86968
,,16.9822,94.26408,17.0013,97.8654
,,16.99039,94.25735,17.0122,97.86072
,,17.0013,94.25074,17.02039,97.85618
,,17.0122,94.24413,17.03129,97.85117
,,17.02039,94.23741,17.0422,97.84643
,,17.03129,94.2308,17.05038,97.84147
,,17.0422,94.22418,17.06129,97.83636
,,17.05038,94.21747,17.0722,97.8316
,,17.06129,94.21085,17.08038,97.82703
,,17.0722,94.20423,17.09129,97.82269
,,17.08038,94.19752,17.10219,97.81795
,,17.09129,94.1909,17.11037,97.81319
,,17.10219,94.18428,17.12128,97.80871
,,17.11037,94.17758,17.13218,97.80436
,,17.12128,94.17096,17.14036,97.79946
,,17.13218,94.16434,17.15127,97.79502
,,17.14036,94.15764,17.16217,97.79019
,,17.15127,94.15102,17.17035,97.78539
,,17.16217,94.1444,17.18125,97.7804
,,17.17035,94.13771,17.19216,97.77553
,,17.18125,94.13109,17.20033,97.77045
,,17.19216,94.12447,17.21124,97.76562
,,17.20033,94.11778,17.22214,97.76093
,,17.21124,94.11116,17.23032,97.75623
,,17.22214,94.10454,17.24122,97.75121
,,17.23032,94.09787,17.25212,97.74597
,,17.24122,94.09125,17.2603,97.74093
,,17.25212,94.08463,17.2712,97.73632
,,17.2603,94.07797,17.2821,97.73174
,,17.2712,94.07136,17.29027,97.72753
,,17.2821,94.06474,17.30118,97.72274
,,17.29027,94.05809,17.31208,97.71759
,,17.30118,94.05148,17.32025,97.71278
,,17.31208,94.04487,17.33115,97.7077
,,17.32025,94.03823,17.34205,97.70313
,,17.33115,94.03162,17.35022,97.69806
,,17.34205,94.02501,17.36112,97.69336
,,17.35022,94.01839,17.37202,97.6882
,,17.36112,94.01178,17.38019,97.68357
,,17.37202,94.00518,17.39109,97.67882
,,17.38019,93.99857,17.40199,97.6738
,,17.39109,93.99198,17.41016,97.66901
,,17.40199,93.98538,17.42106,97.66425
,,17.41016,93.97878,17.43195,97.65938
,,17.42106,93.9722,17.44012,97.6546
,,17.43195,93.96561,17.45102,97.64989
,,17.44012,93.95903,17.46192,97.64511
,,17.45102,93.95245,17.47009,97.64056
,,17.46192,93.94587,17.48098,97.63592
,,17.47009,93.9393,17.49188,97.631
,,17.48098,93.93274,17.50005,97.62653
,,17.49188,93.92617,17.51094,97.62191
,,17.50005,93.91962,17.52183,97.61736
,,17.51094,93.91306,17.53273,97.61246
,,17.52183,93.90651,17.5409,97.60767
,,17.53273,93.89996,17.55179,97.60241
,,17.5409,93.89343,17.56268,97.59724
,,17.55179,93.88689,17.57085,97.59291
,,17.56268,93.88036,17.58174,97.5883
,,17.57085,93.87385,17.59263,97.5833
,,17.58174,93.86732,17.6008,97.57898
,,17.59263,93.8608,17.61169,97.57414
,,17.6008,93.85431,17.62258,97.56938
,,17.61169,93.8478,17.63075,97.56443
,,17.62258,93.84129,17.64164,97.55973
,,17.63075,93.83483,17.65253,97.55451
,,17.64164,93.82833,17.66069,97.54991
,,17.65253,93.82184,17.67158,97.54487
,,17.66069,93.8154,17.68247,97.53947
,,17.67158,93.80892,17.69064,97.53454
,,17.68247,93.80245,17.70152,97.52937
,,17.69064,93.79603,17.71241,97.52448
,,17.70152,93.78957,17.72058,97.51942
,,17.71241,93.78312,17.73146,97.514
,,17.72058,93.77673,17.74235,97.50906
,,17.73146,93.77029,17.75052,97.50399
,,17.74235,93.76386,17.7614,97.49907
,,17.75052,93.75749,17.77229,97.49396
,,17.7614,93.75108,17.78045,97.48918
,,17.77229,93.74467,17.79134,97.48421
,,17.78045,93.73833,17.80222,97.47911
,,17.79134,93.73193,17.81038,97.47404
,,17.80222,93.72555,17.82127,97.46888
,,17.81038,93.71924,17.83215,97.4641
,,17.82127,93.71287,17.84031,97.45941
,,17.83215,93.70651,17.8512,97.45389
,,17.84031,93.70023,17.86208,97.4488
,,17.8512,93.69389,17.87024,97.44399
,,17.86208,93.68756,17.88112,97.43882
,,17.87024,93.6813,17.892,97.43396
,,17.88112,93.67499,17.90017,97.42916
,,17.892,93.66869,17.91105,97.42415
,,17.90017,93.66247,17.92193,97.41895
,,17.91105,93.65619,17.93009,97.41454
,,17.92193,93.64991,17.94097,97.40935
,,17.93009,93.64373,17.95185,97.40426
,,17.94097,93.63748,17.96001,97.39956
,,17.95185,93.63123,17.97089,97.39447
,,17.96001,93.62508,17.98177,97.389
,,17.97089,93.61886,17.98992,97.38408
,,17.98177,93.61266,18.0008,97.37877
,,17.98992,93.60654,18.01168,97.37328
,,18.0008,93.60036,18.01984,97.36894
,,18.01168,93.59418,18.03072,97.36396
,,18.01984,93.5881,18.04159,97.35854
,,18.03072,93.58196,18.04975,97.35396
,,18.04159,93.57582,18.06063,97.34898
,,18.04975,93.56978,18.0715,97.34405
,,18.06063,93.56367,18.08238,97.33898
,,18.0715,93.55757,18.09053,97.33415
,,18.08238,93.55149,18.10141,97.32894
,,18.09053,93.5455,18.11228,97.32379
,,18.10141,93.53945,18.12044,97.31891
,,18.11228,93.5334,18.13131,97.31344
,,18.12044,93.52746,18.14219,97.30789
,,18.13131,93.52145,18.15034,97.30343
,,18.14219,93.51545,18.16121,97.29811
,,18.15034,93.50955,18.17209,97.29311
,,18.16121,93.50358,18.18024,97.28864
,,18.17209,93.49762,18.19111,97.28347
,,18.18024,93.49177,18.20199,97.27848
,,18.19111,93.48584,18.21014,97.27375
,,18.20199,93.47993,18.22101,97.26827
,,18.21014,93.47412,18.23188,97.26274
,,18.22101,93.46825,18.24003,97.25823
,,18.23188,93.46239,18.2509,97.25269
,,18.24003,93.45663,18.26177,97.24761
,,18.2509,93.4508,18.26992,97.24278
,,18.26177,93.44499,18.28079,97.23779
,,18.26992,93.43928,18.29166,97.23225
,,18.28079,93.43351,18.29981,97.22728
,,18.29166,93.42775,18.31068,97.22222
,,18.29981,93.42209,18.32155,97.2171
,,18.31068,93.41637,18.3297,97.21216
,,18.32155,93.41067,18.34057,97.20714
,,18.3297,93.40507,18.35143,97.20212
,,18.34057,93.3994,18.35958,97.19772
,,18.35143,93.39376,18.37045,97.19282
,,18.35958,93.38821,18.38132,97.18758
,,18.37045,93.3826,18.39218,97.18246
,,18.38132,93.37702,18.40033,97.178
,,18.39218,93.37145,18.4112,97.17248
,,18.40033,93.36598,18.42206,97.16758
,,18.4112,93.36045,18.43021,97.16334
,,18.42206,93.35495,18.44107,97.15837
,,18.43021,93.34954,18.45193,97.15304
,,18.44107,93.34407,18.46008,97.14876
,,18.45193,93.33864,18.47094,97.14341
,,18.46008,93.33328,18.48181,97.13845
,,18.47094,93.32789,18.48995,97.13392
,,18.48181,93.32251,18.50082,97.12912
,,18.48995,93.31722,18.51168,97.12393
,,18.50082,93.3119,18.51982,97.11955
,,18.51168,93.30659,18.53068,97.11466
,,18.51982,93.30137,18.54154,97.10976
,,18.53068,93.29611,18.54969,97.10546
,,18.54154,93.29088,18.56055,97.10053
,,18.54969,93.28572,18.57141,97.0958
,,18.56055,93.28053,18.57955,97.09103
,,18.57141,93.27538,18.59041,97.08621
,,18.57955,93.27028,18.60127,97.08154
,,18.59041,93.26518,18.61213,97.07675
,,18.60127,93.26009,18.62027,97.07268
,,18.61213,93.25504,18.63113,97.068
,,18.62027,93.25004,18.64199,97.06317
,,18.63113,93.24504,18.65013,97.05866
,,18.64199,93.24006,18.66099,97.05399
,,18.65013,93.23514,18.67184,97.04869
,,18.66099,93.23022,18.67998,97.04408
,,18.67184,93.22533,18.69084,97.03907
,,18.67998,93.22048,18.70169,97.03392
,,18.69084,93.21564,18.70984,97.02957
,,18.70169,93.21083,18.72069,97.02498
,,18.70984,93.20606,18.73154,97.02017
,,18.72069,93.20131,18.73968,97.01585
,,18.73154,93.19659,18.75054,97.01072
,,18.73968,93.19189,18.76139,97.00566
,,18.75054,93.18723,18.76953,97.00161
,,18.76139,93.1826,18.78038,96.99677
,,18.76953,93.17799,18.79124,96.99194
,,18.78038,93.17342,18.79937,96.98802
,,18.79124,93.16888,18.81023,96.98336
,,18.79937,93.16435,18.82108,96.97852
,,18.81023,93.15988,18.83193,96.97373
,,18.82108,93.15544,18.84006,96.96962
,,18.83193,93.15103,18.85092,96.96472
,,18.84006,93.14662,18.86176,96.9601
,,18.85092,93.14227,18.8699,96.9563
,,18.86176,93.13797,18.88075,96.95186
,,18.8699,93.13364,18.8916,96.94707
,,18.88075,93.1294,18.89974,96.94301
,,18.8916,93.1252,18.91058,96.93839
,,18.89974,93.12096,18.92143,96.93414
,,18.91058,93.11682,18.92957,96.92991
,,18.92143,93.11273,18.94041,96.92541
,,18.92957,93.10858,18.95126,96.9209
,,18.94041,93.10456,18.9594,96.91728
,,18.95126,93.10057,18.97024,96.91254
,,18.9594,93.09652,18.98109,96.90824
,,18.97024,93.0926,18.98922,96.90452
,,18.98109,93.08872,19.00007,96.90043
,,18.98922,93.08477,19.01091,96.89583
,,19.00007,93.08097,19.02176,96.89173
,,19.01091,93.07721,19.02989,96.8878
,,19.02176,93.07348,19.04073,96.88336
,,19.02989,93.06967,19.05158,96.87921
,,19.04073,93.06602,19.05971,96.87526
,,19.05158,93.06242,19.07055,96.87096
,,19.05971,93.05871,19.08139,96.86667
,,19.07055,93.05519,19.08952,96.86309
,,19.08139,93.05171,19.10037,96.85923
,,19.08952,93.0481,19.11121,96.85502
,,19.10037,93.0447,19.11934,96.85115
,,19.11121,93.04135,19.13018,96.84727
,,19.11934,93.03785,19.14102,96.84321
